Jurisdictional Reference,Type,Description
"The Right of Children to Free and Compulsory Education Act,2009,Section no 9",Educational,"(1) Where a child above six years of age has not been admitted in any school or though admitted, could not complete his or her elementary education, then, he or she shall be admitted in a class appropriate to his or her age."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 10",Educational,"No teacher shall be deployed for any non-educational purpose other than the decennial population census, disaster relief duties or duties relating to elections to the local authority or the State Legislature or Parliament, as the case may be."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 11",Educational,"For the purpose of providing free and compulsory elementary education, the appropriate Government and the local authority shall identify, within such area or limits, as may be prescribed by the State Government, children who have not been admitted to any school or who have dropped out of schools after admission or who have not been retained in school."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 13",Educational,"(1) Where a child has not completed his or her elementary education, he or she shall be admitted in a class appropriate to his or her age."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 14",Educational,"(1) No child shall be held back, expelled or required to pass a board examination till completion of elementary education."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 15",Educational,Every child admitted to an elementary school shall be entitled to complete his or her elementary education in the same school.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 16",Educational,The National Advisory Council shall lay down the minimum norms and standards for implementation of the provisions of this Act.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 18",Educational,(1) No child admitted in a school shall be held back in any class or expelled from school till the completion of elementary education.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 20",Educational,(1) Every child completing his or her elementary education shall be awarded a certificate by the school in such form and in such manner as may be prescribed by the appropriate Government.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 21",Educational,(1) No child shall be subjected to physical punishment or mental harassment.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 22",Educational,(1) No child shall be subjected to physical punishment or mental harassment.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 23",Educational,(1) No child shall be held back in any class or expelled from school till the completion of elementary education.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 25",Educational,"(1) No school or person shall, while admitting a child, collect any capitation fee and subject the child or his or her parents or guardian to any screening procedure."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 26",Educational,(1) Every child with disability referred to in sub-clause (c) of clause (i) of section 2 shall have the right to free education in an appropriate environment till he attains the age of eighteen years.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 28",Educational,"The appropriate Government and the local authority shall ensure that the following norms and standards are specified in respect of a school, namely: (a) infrastructure including school building, teaching staff and learning equipment;"
"The Right of Children to Free and Compulsory Education Act,2009,Section no 30",Educational,(1) The school specified in sub-clause (iv) of clause (n) of section 2 shall ensure admission of children belonging to weaker section and disadvantaged group in the neighbourhood and provide free and compulsory elementary education till its completion.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 31",Educational,"(1) The appropriate Government may, by notification, make rules to carry out the provisions of this Act."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 32",Educational," A local authority may, by notification, make rules to carry out the provisions of this Act."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 34",Educational,(1) No civil court shall have jurisdiction to entertain any suit or proceeding in respect of any matter which the State Government or the Central Government or any officer or authority or body constituted under this Act is empowered by or under this Act to determine and no injunction shall be granted by any court or other authority in respect of any action taken or to be taken in pursuance of any power conferred by or under this Act
"The Right of Children to Free and Compulsory Education Act,2009,Section no 36",Educational,"No suit, prosecution or other legal proceeding shall lie against the Central Government or the State Government or the Council or the appropriate Government or any local authority or any officer or employee of such Government or Council or authority for anything which is in good faith done or intended to be done in pursuance of this Act or the rules or regulations made thereunder."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 39",Educational,(1) The Central Government may give such directions to the State Government as may appear to it to be necessary for carrying into execution the provisions of this Act.
"The Right of Children to Free and Compulsory Education Act,2009,Section no 40",Educational,"(1) If any difficulty arises in giving effect to the provisions of this Act, the Central Government may, by order published in the Official Gazette, make such provisions not inconsistent with the provisions of this Act as appear to it to be necessary or expedient for removing the difficulty:"
"The Right of Children to Free and Compulsory Education Act,2009,Section no 41",Educational,"(1) The Central Government may, by notification, make rules for carrying out the provisions of this Act."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 42",Educational,"(1) The Council may, by notification, make regulations consistent with this Act and the rules made thereunder to carry out the purposes of this Act."
"The Right of Children to Free and Compulsory Education Act,2009,Section no 43",Educational,"(1) The State Government may, by notification, make rules to carry out the provisions of this Act."
"University Grants Commission Act,1956,Section no 12",Educational,"It shall be the general duty of the Commission to take, in consultation with the Universities or other bodies concerned, all such steps as it may think fit for the promotion and coordination of University education and for the determination and maintenance of standards of teaching, examination and research in Universities."
"University Grants Commission Act,1956,Section no 14",Educational,"(1) The Commission shall, in consultation with the Universities or other bodies concerned, cause inspections to be made by such person or persons as it may direct of any University, and of any college or institution or hostel recognised by the University, and the person or persons so appointed shall have a right to enter any such University, college, institution or hostel and shall inspect the same."
"University Grants Commission Act,1956,Section no 25",Educational,"The Commission may, with the previous approval of the Central Government, out of the Fund of the Commission, make grants to any University or college or institution recognised by it."
"University Grants Commission Act,1956,Section no 26",Educational,"(1) The Commission may, by notification in the Official Gazette, make regulations consistent with this Act and the rules made thereunder defining the minimum standards of instruction for the grant of any degree by any University"
"University Grants Commission Act,1956,Section no 22",Educational,"(1) The right of conferring or granting degrees shall be exercised only by a University established or incorporated by or under a Central Act, a Provincial Act or a State Act or an institution deemed to be a University under section 3 or an institution specially empowered by an Act of Parliament to confer or grant degrees"
"University Grants Commission Act,1956,Section no 29",Educational,"The Commission may, by notification in the Official Gazette, make rules to carry out the purposes of this Act."
"National Council for Teacher Education Act,1993,Section no 12",Educational,"(1) The Council shall perform, inter alia, the following functions, namely:— (a) to achieve planned and coordinated development of the teacher education system throughout the country;"
"National Council for Teacher Education Act,1993,Section no 14",Educational,"(1) Subject to the provisions of this Act, the Council may, for the purpose of achieving the objectives laid down in clause (a) of sub-section (1) of section 12, specify the minimum qualifications required for a person to be employed as a teacher in any recognised institution or for giving instruction in such institution, by making regulations to that effect."
"National Council for Teacher Education Act,1993,Section no 17",Educational,"(1) Where the Council is satisfied that a recognised institution no longer complies with the provisions of this Act or the rules or regulations made thereunder, it may, after giving the institution a reasonable opportunity of showing cause against the proposed action, withdraw the recognition."
"National Council for Teacher Education Act,1993,Section no 29",Educational,"(1) Subject to the provisions of this Act, the Council may, by notification, make regulations to carry out the purposes of this Act."
"The National Council for Teacher Education Act,1993,Section no 15",Educational,"(1) No institution, other than a University established or incorporated by or under a Central Act or a State Act, shall offer a course or training in teacher education without obtaining recognition under this Act:"
"The National Council for Teacher Education Act,1993,Section no 16",Educational,"(1) The Council may, on application made to it in the prescribed manner and on payment of the prescribed fee, recognise any institution offering or intending to offer a course or training in teacher education for grant of recognition under this Act:"
"The National Council for Teacher Education Act,1993,Section no 18",Educational,"(1) The Council may, on application made to it in the prescribed manner and on payment of the prescribed fee, recognise any qualification referred to in sub-section (2) for the purposes of this Act:"
"The National Council for Teacher Education Act,1993,Section no 19",Educational,"(1) A person with academic and professional qualifications specified by the National Council for Teacher Education by making necessary regulations, shall be eligible for appointment as a teacher in any school."
"The National Council for Teacher Education Act,1993,Section no 20",Educational,(1) The Council shall determine the minimum qualifications required for a person to be eligible for appointment as a teacher in schools or in recognised institutions in accordance with the standards laid down under sub-section (1) of section 19.
"The National Council for Teacher Education Act,1993,Section no 21",Educational,(1) Every recognised institution offering a course or training in teacher education shall provide such course or training for the period as may be prescribed by the regulations:
"The National Council for Teacher Education Act,1993,Section no 22",Educational,(1) No test or examination shall be conducted by any recognised institution in teacher education except by the authority specified by the appropriate Government by notification in the Official Gazette.
"The National Council for Teacher Education Act,1993,Section no 24",Educational,"(1) If the appropriate Government or the Council is satisfied, after making such inquiry as may be prescribed, that any institution recognised under this Act does not fulfil the conditions specified in the regulations made under this Act or has contravened any of the provisions of this Act or the rules or regulations made thereunder, it may, by notification in the Official Gazette, withdraw recognition from such institution from such date as may be specified in the notification:"
"The National Council for Teacher Education Act,1993,Section no 26",Educational,"(1) Any person aggrieved by the order of the appropriate Government or the Council withdrawing recognition under section 24 may, within such period as may be prescribed, prefer an appeal to the Central Government:"
"The National Council for Teacher Education Act,1993,Section no 27",Educational,"The Central Government shall, before disposing of an appeal under section 26, give a reasonable opportunity of being heard to the appellant:"
"The National Council for Teacher Education Act,1993,Section no 28",Educational,(1) Every order made by the Central Government under section 26 shall be final and shall not be called in question in any court.
"The National Council for Teacher Education Act,1993,Section no 30",Educational,"(1) The Council may, by notification, make regulations consistent with this Act and the rules made thereunder to carry out the purposes of this Act."
"All India Council for Technical Education Act,1987,Section no 10",Educational,(1) It shall be the duty of the Council to take all such steps as it may think fit for ensuring coordinated and integrated development of technical education and maintenance of standards.
"All India Council for Technical Education Act,1987,Section no 14",Educational,"The Council may cause an inspection of any technical institution or university, its buildings, laboratories, and equipment, and may make recommendations to the institution or university regarding its maintenance or upgradation."
"All India Council for Technical Education Act,1987,Section no 11",Educational,"(1) With a view to ensuring the proper maintenance of the norms and standards prescribed by the regulations, the Council may, if it is satisfied, either on a reference made to it by the appropriate authority or otherwise, that any technical institution or any programme of training conducted by such institution, does not possess the norms and standards prescribed by the regulations, it may, by order, direct the appropriate authority or any other person or body to take such action as may be necessary for ensuring compliance of those norms and standards."
"All India Council for Technical Education Act,1987,Section no 24",Educational,"The Central Government may, by notification in the Official Gazette, make rules to carry out the purposes of this Act"
"All India Council for Technical Education Act,1987,Section no 23",Educational,"(1) Subject to the provisions of this Act and the rules made thereunder, the Council may, by notification in the Official Gazette, make regulations generally to carry out the purposes of this Act."
"The Apprentices Act,1961,Section no 11",Educational,Every apprentice undergoing apprenticeship training in a designated trade in an establishment shall be paid such stipend at a rate not less than the minimum rate prescribed by the Government.
"The Apprentices Act,1961,Section no 8",Educational,Every employer shall enter into a contract of apprenticeship with every apprentice employed by him.
"The Apprentices Act,1961,Section no 13",Educational,"(1) Every employer shall pay to every apprentice who is undergoing apprenticeship training in his establishment, whether in pursuance of a contract of apprenticeship entered into under this Act or under the provisions of this Act before the date of commencement of the Apprentices (Amendment) Act, 1973 (27 of 1973) or in pursuance of any scheme framed under the Apprentices Act, 1961 (52 of 1961), a stipend at a rate not less than the prescribed minimum rate."
"The Apprentices Act,1961,Section no 20",Educational,"(1) Whoever, having been convicted of an offence under section 15, section 16 or section 17, is again convicted of an offence involving the same apprentice shall be punishable with imprisonment for a term which may extend to six months or with fine which may extend to five hundred rupees or with both."
"The Apprentices Act,1961,Section no 37",Educational,"(1) The Central Government may, by notification in the Official Gazette, make rules to carry out the purposes of this Act."
"Indian Institutes of Technology Act,1961,Section no 4",Educational,"The Institutes shall be bodies corporate having perpetual succession and a common seal with power, subject to the provisions of this Act, to acquire, hold and dispose of property and to contract, and may, by the said name, sue or be sued."
"Indian Institutes of Technology Act,1961,Section no 6",Educational,"(1) Subject to the provisions of this Act, the Institutes shall exercise the following powers and perform the following functions, namely:— (a) to provide for instruction and research in such branches of engineering and technology, sciences and arts as the Institutes may think fit and for the advancement of learning and dissemination of knowledge in such branches;"
"Indian Institutes of Technology Act,1961,Section no 7",Educational,"(1) The Institutes shall be open to persons of either sex and of whatever race, creed, caste or class, and no test or condition shall be imposed as to religious belief or profession in admitting or appointing members, students, teachers, officers or servants, or in any other connection whatsoever."
"Indian Institutes of Technology Act,1961,Section no 27",Educational,"(1) The Institutes may, subject to the approval of the Visitor, make rules consistent with this Act and the Statutes to regulate— (a) the formation of departments and the assignment of subjects to such departments;"
"Indian Institutes of Technology Act,1961,Section no 3",Educational,"(1) The following institutions, to wit:- (a) the Indian Institute of Technology, Kharagpur, in the State of West Bengal;"
"Indian Institutes of Technology Act,1961,Section no 5",Educational,(1) The President of India shall be the Visitor of the Institutes.
"Indian Institutes of Technology Act,1961,Section no 10",Educational,"(1) There shall be a Senate of the Institute which shall consist of the following persons, namely:- (a) the Director;"
"Indian Institutes of Technology Act,1961,Section no 11",Educational,"(1) The Senate shall have the following powers and functions, namely:- (a) to prescribe the courses of study and the syllabi for the examinations to be held for degrees, diplomas and other academic distinctions;"
"Indian Institutes of Technology Act,1961,Section no 13",Educational,"(1) There shall be a Finance Committee of the Institute which shall consist of the following members, namely:- (a) the Director;"
"Indian Institutes of Technology Act,1961,Section no 15",Educational,"(1) There shall be a Building and Works Committee of the Institute which shall consist of the following members, namely:- (a) the Director;"
"Indian Institutes of Technology Act,1961,Section no 17",Educational,"The following shall be the authorities of the Institute, namely:- (a) the Board of Governors;"
"Indian Institutes of Technology Act,1961,Section no 19",Educational,"(1) Subject to the provisions of this Act, the Statutes may provide for all or any of the following matters, namely:- (a) the conferment of honorary degrees;"
"Indian Institutes of Technology Act,1961,Section no 22",Educational,"(1) The Senate may, subject to the provisions of this Act, make Statutes for all or any of the matters referred to in sub-section (1) of section 19."
"Indian Institutes of Technology Act,1961,Section no 23",Educational,"(1) Subject to the provisions of this Act and the Statutes, the Ordinances may provide for all or any of the following matters, namely:- (a) the admission of students to the Institutes;"
"Indian Institutes of Technology Act,1961,Section no 25",Educational,"(1) The Board of Governors may, subject to the provisions of this Act and the Statutes, make Ordinances for all or any of the matters referred to in sub-section (1) of section 23."
"Indian Institutes of Technology Act,1961,Section no 26",Educational,"(1) Every Statute, Ordinance or Regulation made under this Act shall be published in the Official Gazette."
"Indian Institutes of Technology Act,1961,Section no 27",Educational,(1) The Director shall be the principal academic and executive officer of the Institute and shall be responsible for the proper administration of the Institute and for imparting of instruction and maintenance of discipline therein.
"Indian Institutes of Technology Act,1961,Section no 29",Educational,"(1) The Institutes shall be open to persons of either sex and of whatever race, creed, caste or class, and no test or condition shall be imposed as to religious belief or profession in admitting or appointing members, students, teachers, officers or servants, or in any other connection whatsoever."
"Indian Institutes of Technology Act,1961,Section no 32",Educational,(1) The annual report shall be prepared under the direction of the Senate and shall be submitted to the Visitor on or before such date as may be specified by him.
"Indian Institutes of Technology Act,1961,Section no 33",Educational,"(1) The Board of Governors shall cause to be maintained proper accounts and other relevant records and prepare an annual statement of accounts, including the balance sheet, in such form as may be prescribed by the Statutes in consultation with the auditors:"
"Indian Institutes of Technology Act,1961,Section no 34",Educational,(1) The annual report and the audited accounts of the Institute shall be forwarded to the Visitor and the Visitor shall cause the same to be laid before each House of Parliament.
"Indian Institutes of Technology Act,1961,Section no 36",Educational,"(1) If any person wilfully makes or signs a financial statement or statement of accounts which is false in any material particular, knowing it to be false, he shall be punishable with imprisonment for a term which may extend to three years and shall also be liable to fine."
"Indian Institutes of Technology Act,1961,Section no 37",Educational,"(1) Any person who contravenes any provision of this Act or any Statute or Ordinance or Regulation made thereunder shall, if no other penalty is provided for such contravention by this Act, be punishable with fine which may extend to five hundred rupees:"
"The National Institutes of Technology Act, 2007,Section 7",Educational,The institutions mentioned in the First Schedule are hereby declared to be institutions of national importance.
"The National Institutes of Technology Act, 2007,Section 3",Educational,The institutions mentioned in the First Schedule to this Act are hereby declared to be institutions of national importance and shall be known as National Institutes of Technology.
"The National Institutes of Technology Act, 2007,Section 11",Educational,The President of India shall be the Visitor of every Institute
"The National Institutes of Technology Act, 2007,Section 9",Educational,"(1) There shall be a Board of Governors for every Institute, consisting of the following members, namely:- (a) the Chairperson to be nominated by the Visitor;"
"The National Institutes of Technology Act, 2007,Section 26",Educational,"The Board of Governors of each Institute may, with the prior approval of the Visitor, make Statutes to provide for all or any of the following matters, namely: (a) the conferment of honorary degrees; (b) the establishment of faculties, departments, or schools of studies."
"The National Institutes of Technology Act, 2007,Section 10",Educational,"(1) Subject to the provisions of this Act, the Board of every Institute shall have the power to make Statutes consistent with this Act and the rules made thereunder, to provide for all or any of the following matters, namely:- (a) the formation of departments of teaching;"
"The National Policy on Education Act, 1986,Section 1",Educational,"This Act may be called the National Policy on Education Act, 1986. It extends to the whole of India and shall come into force on such date as the Central Government may, by notification in the Official Gazette, appoint"
"The National Policy on Education Act, 1986,Section 3",Educational,"The main objectives of this policy are to provide education of equitable quality to all children, including marginalized and disadvantaged groups, and to promote a comprehensive approach to learning that includes both academic and vocational training."
"The National Policy on Education Act, 1986,Section 7",Educational,"The Central Government shall take all necessary measures to ensure effective implementation of the National Policy on Education, including the establishment of adequate infrastructure, allocation of sufficient funds, and regular monitoring and evaluation of educational programs."
"The Kendriya Vidyalaya Sangathan (KVS) Act, 1965,Section no 5",Educational,"The Central Government shall establish Kendriya Vidyalayas to provide quality education to the children of transferable central government employees, including defense and paramilitary personnel, wherever they are posted across India"
"The Kendriya Vidyalaya Sangathan (KVS) Act, 1965,Section no 8",Educational,"Each Kendriya Vidyalaya shall be managed by a School Management Committee (SMC) which shall include representatives of parents, teachers, and the local community to ensure participatory governance."
"The Kendriya Vidyalaya Sangathan (KVS) Act, 1965,Section no 12",Educational,The Kendriya Vidyalayas shall follow a common curriculum and examination system as prescribed by the Central Board of Secondary Education (CBSE) to maintain uniformity and high standards of education across all schools.
"The Sarva Shiksha Abhiyan (SSA) Framework, 2001,Section no 4",Educational,"The Sarva Shiksha Abhiyan aims to achieve universalization of elementary education by ensuring that all children aged 6-14 years have access to quality education, focusing on marginalized and disadvantaged groups."
"The Sarva Shiksha Abhiyan (SSA) Framework, 2001,Section no 10",Educational,"The Central Government shall allocate funds to State Governments for the implementation of SSA programs, ensuring that financial resources are distributed equitably based on the needs of different regions and communities."
"The Sarva Shiksha Abhiyan (SSA) Framework, 2001,Section no 15",Educational,"The SSA framework emphasizes active community participation in the planning, implementation, and monitoring of educational programs to ensure accountability and responsiveness to local needs."
"The National Institute of Open Schooling (NIOS) Act, 1990,Section no 2",Educational,"The Central Government shall establish the National Institute of Open Schooling to provide education through open and distance learning modes, catering to the needs of learners who are unable to attend regular schools."
"The National Institute of Open Schooling (NIOS) Act, 1990,Section no 5",Educational,"The NIOS shall design and offer flexible and innovative courses, conduct examinations, and certify learners, ensuring that the education provided is of high quality and recognized nationally."
"The National Institute of Open Schooling (NIOS) Act, 1990,Section no 8",Educational,"The NIOS shall accredit study centers across the country to facilitate access to educational resources and support services for learners enrolled in its programs."""
"The Central Board of Secondary Education (CBSE) Act, 1962,Section no 3",Educational,"The Central Government shall establish the Central Board of Secondary Education to regulate, supervise, and control secondary education across affiliated schools in India."
"The Central Board of Secondary Education (CBSE) Act, 1962,Section no 7",Educational,"The CBSE shall prescribe curricula, conduct examinations, grant certifications, and take necessary measures to maintain high standards of education in schools affiliated with the Board."
"The Central Board of Secondary Education (CBSE) Act, 1962,Section no 10",Educational,"Schools seeking affiliation with CBSE must adhere to the standards and requirements set by the Board, including infrastructure, teacher qualifications, and academic performance."
"The National Medical Commission (NMC) Act, 2019,Section no 4",Educational,"The Central Government shall, by notification, constitute a Commission to be called the National Medical Commission to exercise the powers conferred upon, and to perform the functions assigned to, it under this Act."
"The National Medical Commission (NMC) Act, 2019,Section no 15",Educational,"The Commission shall perform the following functions, namely: (a) lay down policies for maintaining a high quality and high standards in medical education and make necessary regulations in this behalf; (b) lay down policies for regulating medical institutions, medical researches, and medical professionals."
"The National Medical Commission (NMC) Act, 2019,Section no 33",Educational,"The Commission may, with the previous approval of the Central Government, make regulations generally to carry out the provisions of this Act."
"The Rashtriya Uchchatar Shiksha Abhiyan (RUSA) Framework, 2013,Section no 5",Educational,The Rashtriya Uchchatar Shiksha Abhiyan aims to improve the overall quality of state institutions by ensuring conformity to prescribed norms and standards and adoption of accreditation as a mandatory quality assurance framework.
"The Rashtriya Uchchatar Shiksha Abhiyan (RUSA) Framework, 2013,Section no 12",Educational,"The Central Government shall allocate funds to State Governments for the implementation of RUSA programs, based on the performance of states in higher education parameters."
"The Rashtriya Uchchatar Shiksha Abhiyan (RUSA) Framework, 2013,Section no 18",Educational,The National Mission Authority shall monitor the implementation of RUSA and evaluate the progress of states in achieving the objectives of the scheme.
"The Central Educational Institutions (Reservation in Admission) Act, 2006,Section no 3",Educational,"Not withstanding anything in any other law for the time being in force, each Central Educational Institution shall reserve seats in admission for the Scheduled Castes, the Scheduled Tribes and the Other Backward Classes to the extent and in the manner as may be specified by the Central Government."
"The Central Educational Institutions (Reservation in Admission) Act, 2006,Section no 5",Educational,"The Central Government shall, within a period of three years from the date of commencement of this Act, lay down guidelines for the implementation of reservation of seats and provide necessary financial assistance for the expansion and development of the infrastructure of such institutions."
"The Central Educational Institutions (Reservation in Admission) Act, 2006,Section no 6",Educational,"The Central Government may, by notification, make rules for carrying out the provisions of this Act."
"The Right to Education Act, 2009,Section No 28",Educational,No teacher shall engage himself or herself in private tuition or private teaching activity.
"The Right to Education Act, 2009,Section No 29",Educational,"The curriculum and the evaluation procedure for elementary education shall be laid down by an academic authority to be specified by the appropriate Government, by notification."
"The Right to Education Act, 2009,Section No 31",Educational,The National Commission for Protection of Child Rights shall examine and review the safeguards for rights provided by this Act and recommend measures for their effective implementation.
"The National Commission for Minority Educational Institutions Act, 2004,Section No 3",Educational,"The Central Government shall, by notification, establish a Commission to be known as the National Commission for Minority Educational Institutions."
"The National Commission for Minority Educational Institutions Act, 2004,Section No 10",Educational,The Commission shall have the following powers: (a) to advise the Central Government or any State Government on any question relating to the education of minorities; (b) to look into specific complaints regarding deprivation or violation of rights of minorities to establish and administer educational institutions of their choice.
"The National Commission for Minority Educational Institutions Act, 2004,Section No 18",Educational,Any person aggrieved by the order of the competent authority refusing to grant the certificate of minority educational institution status may prefer an appeal to the Commission.
"The Rehabilitation Council of India Act, 1992,Section No 12",Educational,"The Council shall perform the following functions, namely: (a) to regulate the training policies and programs in the field of rehabilitation of persons with disabilities; (b) to prescribe minimum standards of education and training for various categories of professionals dealing with persons with disabilities."
"The Rehabilitation Council of India Act, 1992,Section No 20",Educational,The qualifications granted by any University or other institution in India which are included in the Schedule shall be recognized qualifications for the purposes of this Act.
"The Rehabilitation Council of India Act, 1992,Section No 29",Educational,"The Council may, with the previous sanction of the Central Government, by notification, make regulations generally to carry out the purposes of this Act."
"The Indian Medical Council Act, 1956,Section No 10A",Educational,No person shall establish a medical college or start a new or higher course of study or training (including a post-graduate course of study or training) except with the previous permission of the Central Government.
"The Indian Medical Council Act, 1956,Section No 20",Educational,The Council may prescribe standards of professional conduct and etiquette and a code of ethics for medical practitioners.
"The Indian Medical Council Act, 1956,Section No 33",Educational,"The Council may, with the previous sanction of the Central Government, make regulations generally to carry out the purposes of this Act, and without prejudice to the generality of this power, such regulations may provide for: (a) the management of the property of the Council; (b) the powers and duties of the President and Vice-President."
"The Indian Medical Council Act, 1956,Section No 21",Educational,The Council shall maintain a register of medical practitioners to be known as the Indian Medical Register which shall contain the names of all persons who are for the time being enrolled on any State Medical Register and who possess any of the recognized medical qualifications.
"The Indian Medical Council Act, 1956,Section No 27",Educational,"If any person whose name is entered in the Indian Medical Register obtains any title, diploma or other qualification for proficiency in science or medicine which is a recognized medical qualification, he shall be entitled to have an entry stating such other title, diploma or other qualification made against his name in the Indian Medical Register."
"The Indian Medical Council Act, 1956,Section No 30",Educational,"The Council may, with the previous sanction of the Central Government, make regulations generally to carry out the purposes of this Act."
"The Indian Nursing Council Act, 1947,Section No 10",Educational,The qualifications included in the Schedule shall be recognized qualifications for the purposes of this Act.
"The Indian Nursing Council Act, 1947,Section No 15",Educational,"The Council shall cause to be maintained in the prescribed manner a register of nurses, midwives, auxiliary nurse-midwives and health visitors to be known as the Indian Nurses Register."
"The Indian Nursing Council Act, 1947,Section No 23",Educational,"The Council may, with the previous sanction of the Central Government, make regulations generally to carry out the purposes of this Act."
"The National Institute of Mental Health and Neuro-Sciences Act, 2012,Section No 3",Educational,The National Institute of Mental Health and Neuro-Sciences shall be a body corporate having perpetual succession and a common seal.
"The National Institute of Mental Health and Neuro-Sciences Act, 2012,Section No 12",Educational,The objects of the Institute shall be to develop patterns of teaching in undergraduate and postgraduate medical education in all its branches so as to demonstrate a high standard of medical education; to bring together in one place educational facilities of the highest order for the training of personnel in all important branches of health activity; and to attain self-sufficiency in postgraduate medical education.
"The National Institute of Mental Health and Neuro-Sciences Act, 2012,Section No 24",Educational,"The Institute may, with the previous approval of the Central Government, make regulations to carry out the purposes of this Act."
"The National Law School of India Act, 1986,Section No 3",Educational,There shall be established a School by the name of the National Law School of India at Bangalore.
"The National Law School of India Act, 1986,Section No 14",Educational,"The General Council shall have the following powers: (a) to review the broad policies and programmes of the School and to suggest measures for the improvement and development of the School; (b) to consider and pass resolutions on the annual report, the annual accounts and the financial estimates of the School."
"The National Law School of India Act, 1986,Section No 29",Educational,The Academic Council may make regulations consistent with this Act and the rules made thereunder for the maintenance of discipline among the students of the School.
